          Jan      Feb      Mar      Apr      May      Jun      Jul      Aug      Sep      Oct      Nov      Dec
1914   0.7627   0.8528   0.4434   0.8018   0.1705   0.1962   0.6633   1.0407   0.8117   0.3714   0.4208   0.7341
1915   0.9427   0.7028   0.6134   0.5818   0.6805   1.2062   0.2033   0.1707   0.3017   0.3514  -0.0291  -0.1758
1916  -0.0572  -0.5471  -0.4165  -0.5181  -0.0594  -0.2537  -0.9666  -1.3692  -1.2282  -1.2485  -1.6091  -1.5858
1917  -1.4972  -1.1471  -0.5165  -0.1781  -0.1294   0.0762   0.0933   0.2707   0.1117   0.1514  -0.3091  -0.6658
1918  -0.7772  -0.7671  -0.8365  -0.4481   0.0005   0.4862   0.0633   0.2407   0.5417   1.0414   1.3508   1.3541
1919   1.6627   1.2928   1.0234   0.8018   0.7905   0.7162   0.5433   0.7407   0.6417   0.2514  -0.2491   0.3941
1920   0.7027   0.6628   0.6534  -0.0481  -0.0394   0.4062   0.2833   0.2507   0.4017   0.6014   0.0308   0.0341
1921   0.4927  -0.4571  -1.2965  -0.4381  -0.7594  -0.1037  -0.1366  -0.1692  -0.0382   0.1514  -0.9191  -0.4458
1922  -0.4772  -0.0171   0.1934  -0.4281   0.3905  -0.3237  -0.3066  -0.6692  -0.2382  -0.1385  -0.1991  -0.4758
1923  -0.3472  -0.7071  -0.7265  -0.4381  -0.0794  -0.0337  -0.0566   0.3107   0.7817   0.9014   0.9808   1.0641
1924   0.5227   0.6828   0.5134   0.0918  -0.6794  -0.5537  -0.8366  -0.6692  -0.7282  -0.3385  -0.9791  -0.6058
1925  -0.9672  -0.4171  -0.4065  -0.4081  -0.2294  -0.0637   0.6433   0.7907   0.9017   0.9614   1.1208   1.6541
1926   1.5827   1.3528   1.3034   1.1218   0.9905   0.7162   0.7733   0.2707   0.0617  -0.2785  -0.1591  -0.1758
1927   0.1627   0.2928  -0.0565  -0.1581  -0.4194  -0.0337  -0.1666   0.0207  -0.0182   0.3814   0.0708   0.3041
1928   0.5327   0.2628  -0.1265  -0.1081   0.1305  -0.1437   0.1633  -0.1692   0.0017  -0.0085  -0.0491   0.0241
1929  -0.0872  -0.0171  -0.0265  -0.0381   0.0005   0.2362   0.1233   0.2207   0.4317   0.5114   0.3008   0.6841
1930   0.4127   0.4428   0.4134   0.5218   0.1305   0.3762   0.7733   0.8007   1.4217   1.2514   1.9008   1.4641
1931   1.5527   1.3928   1.3034   1.0718   0.7905   0.5862   0.5433   0.2607  -0.2882  -0.1085  -0.1591  -0.2258
1932  -0.3572  -0.1371   0.3734   0.3618   0.4405   0.2962   0.0233   0.2107   0.1517   0.1314   0.0708  -0.3558
1933  -0.1572  -0.0271  -0.0865   0.1218  -0.2394  -0.7437  -0.5266  -0.8292  -0.6382  -0.9885  -0.9491  -1.1558
1934  -0.8772  -0.8171  -0.8265  -0.3081  -0.3294  -0.2237  -0.2866  -0.2092  -0.3882  -0.1385   0.0008  -0.1958
1935  -0.2572  -0.1371  -0.1565  -0.2081  -0.3794  -0.2937  -0.5066   0.1707   0.2117   0.3914   0.4008   0.0141
1936   0.8027   0.5428   0.1234   0.4018   0.1005  -0.2437  -0.2066  -0.2092   0.0317   0.5014   0.0808   0.6841
1937  -0.2472   0.3528   0.3734   0.3218  -0.2594  -0.1837   0.2333  -0.0892   0.3117   0.0114   0.3308   0.2641
1938  -0.1472   0.2828   0.0634   0.2018  -0.1694  -0.7737  -0.8466  -0.6892  -0.1482  -0.6385  -0.6091  -0.7458
1939  -0.6072  -0.8971  -0.7265  -0.1581  -0.0894   0.1662   0.3933   0.1807   0.5717  -0.3485   0.4408   0.1041
1940   1.2427   1.4328   1.3034   0.9118   0.5105   0.6662   0.3433   0.8707   0.1817   0.4414   0.8108   1.4441
1941   1.4327   1.4028   1.5334   1.4718   1.4805   0.9962   0.8633   0.9007   0.8117   1.1014   1.2908   1.3241
1942   0.6727   0.5828   0.3734   0.6818   0.0605  -0.4037  -0.4166  -0.8392  -1.0382  -1.2085  -1.3891  -1.1858
1943  -1.1372  -1.1271  -0.9765  -0.4881  -0.1894   0.0062   0.0433   0.1707  -0.0982  -0.3285  -0.3791  -0.3658
1944  -0.3672   0.2128  -0.0865   0.2218   0.3005   0.1462   0.2133   0.1207  -0.1782  -0.1085  -0.2291  -0.2058
1945  -0.2972  -0.4171  -0.6665  -0.6481  -0.2894  -0.4837  -0.4666  -0.7292  -0.6882  -0.7485  -0.3091  -0.4858
1946  -0.3772  -0.1771  -0.2365  -0.3681  -0.2294   0.2562   0.1733  -0.3992  -0.0582   0.1114  -0.0691   0.0741
1947   0.4527  -0.0771   0.4034   0.0418  -0.3794   0.1762  -0.2566  -0.2492  -0.9182  -0.6985  -0.6091   0.2341
1948   0.1127   0.4228   0.7534   0.3618   0.4705   0.1762   0.0733   0.0907   0.1117  -0.5585  -0.1891   0.4241
1949  -0.3972   0.3128  -0.4365   0.3018   0.0905  -0.6037  -0.2466  -0.1992  -0.5182  -0.6085  -1.2091  -1.1458
1950  -0.9872  -1.4471  -0.9565  -0.7981  -1.1394  -0.7537  -0.9466  -0.5192  -0.9682  -0.7185  -1.2691  -0.9858
1951  -1.0672  -0.6871  -0.6565  -0.0581   0.0705   0.0262   0.7933   1.0107   0.8017   0.9014   0.9008   0.7641
1952   0.4527   0.2928   0.1634   0.5218  -0.2194  -0.5437  -0.4566  -0.3092  -0.2182   0.0814  -0.2091  -0.4958
1953   0.4227   0.2928   0.3434   0.8818   0.5105   0.5262   0.3333   0.1507   0.8017   0.2214   0.4208   0.2041
1954   0.4527   0.2728   0.1334  -0.2081  -0.3594  -0.6937  -0.8866  -0.9592  -0.8982  -0.7985  -1.0491  -0.7458
1955  -0.5972  -0.7271  -0.6765  -0.8381  -1.0594  -1.0837  -1.1766  -0.7992  -1.1982  -1.4785  -1.7891  -1.4658
1956  -1.1672  -0.9171  -0.8165  -0.6681  -0.4194  -0.7237  -0.8066  -0.6992  -0.7782  -0.5785  -0.8991  -0.5258
1957  -0.4972  -0.1871   0.2034   0.5318   0.6105   0.6462   0.8233   0.9007   0.6617   0.8614   1.2008   1.2241
1958   1.6027   1.4528   1.1134   0.4218   0.4905   0.4162   0.1733   0.3607  -0.1782   0.0814   0.1708   0.3541
1959   0.4927   0.5528   0.3834   0.3818   0.1505  -0.2137  -0.1366  -0.2892  -0.3982   0.2214  -0.0591   0.0041
1960   0.0827  -0.1871   0.0334   0.1218   0.2205  -0.0937  -0.1066   0.1107   0.1717   0.0514  -0.2691   0.0641
1961  -0.0872   0.0928   0.0234   0.2418   0.1605   0.2162  -0.1866  -0.1392  -0.3882  -0.5985  -0.0791  -0.2358
1962  -0.1872  -0.1071  -0.2865  -0.2081  -0.2494  -0.1037  -0.1666  -0.0192  -0.4282  -0.2085  -0.3191  -0.4458
1963  -0.2572  -0.2071   0.0634   0.0518   0.1605   0.2362   0.8633   1.0207   0.7817   0.9514   0.8608   1.0941
1964   0.8127   0.6028  -0.0365  -0.4181  -0.5694  -0.7637  -0.5066  -0.6492  -0.7982  -0.8885  -0.9891  -1.0158
1965  -0.5072  -0.2971  -0.2165   0.0218   0.3505   0.5662   0.9433   1.3607   1.3917   1.7214   1.6608   1.5041
1966   1.1927   0.8828   0.9434   0.6518   0.1105   0.2462   0.3633   0.0107   0.0817   0.0714  -0.2591  -0.2158
1967  -0.4972  -0.5071  -0.3465  -0.4181  -0.0694  -0.0137   0.0333  -0.1892  -0.4482  -0.2685  -0.2191  -0.2958
1968  -0.5372  -0.6871  -0.6365  -0.3581  -0.2694   0.2962   0.4533   0.4407   0.1817   0.4314   0.8808   0.8141
1969   0.9627   1.0828   0.7234   0.4418   0.5505   0.3762   0.2333   0.6307   0.6017   0.7714   0.8608   0.7341
1970   0.6127   0.4128   0.3834   0.2918   0.1705  -0.1937  -0.8366  -0.8392  -0.6482  -0.5385  -0.7291  -1.0658
1971  -1.4072  -1.2271  -1.1765  -0.8581  -0.6594  -0.6637  -0.4966  -0.5392  -0.6182  -0.6685  -0.7391  -0.8458
1972  -0.5172  -0.1571  -0.1365   0.3218   0.4905   0.7762   0.9733   1.4207   1.3217   1.8814   1.9908   2.2441
1973   1.6627   1.1328   0.6934   0.0418  -0.3994  -0.7437  -1.0066  -1.0992  -1.2682  -1.4685  -1.9591  -2.1258
1974  -1.9572  -1.4471  -1.3165  -0.8881  -0.6294  -0.5837  -0.5066  -0.1992  -0.2182  -0.6385  -0.8391  -0.8058
1975  -0.3072  -0.2771  -0.4765  -0.4781  -0.8294  -1.1437  -1.0966  -1.0392  -1.3082  -1.3585  -1.3491  -1.5858
1976  -1.7372  -0.9971  -0.5565  -0.3081  -0.3294   0.1162   0.2933   0.4207   0.7017   0.9714   1.0008   0.6941
1977   0.9027   0.6028   0.5134  -0.1381   0.1405   0.4762   0.5833   0.3707   0.5717   1.0014   1.1508   1.1341
1978   0.7827   0.5628   0.1834  -0.2581  -0.3294  -0.3437  -0.3366  -0.4992  -0.4682  -0.2285  -0.0391   0.1241
1979   0.1127   0.1528   0.2434   0.2818   0.0705   0.1462  -0.0666   0.3307   0.6117   0.4314   0.4608   0.7441
1980   0.6127   0.3828   0.2134   0.3118   0.3005   0.4762   0.1633  -0.1092   0.0117   0.0114   0.2108   0.4041
1981  -0.3972  -0.3971   0.1034  -0.0581   0.0605  -0.0337  -0.2966  -0.0592   0.0617   0.0814  -0.1491   0.1141
1982   0.0227  -0.0671   0.1034   0.3518   0.8105   1.0362   0.7733   1.0407   1.5217   2.1114   2.1808   2.3841
1983   2.4927   2.2728   1.8134   1.2318   1.2905   0.7362   0.0233  -0.0092  -0.3582  -0.9185  -1.0191  -0.8958
1984  -0.7372  -0.4771  -0.3565  -0.4881  -0.4794  -0.7837  -0.2666  -0.2892  -0.2182  -0.7185  -1.0591  -1.4858
1985  -0.8272  -0.8571  -0.8365  -0.8681  -0.7294  -0.6437  -0.4666  -0.3792  -0.4382  -0.5285  -0.3191  -0.3458
1986  -0.7272  -0.5871  -0.3865  -0.2981  -0.3094   0.0362   0.2933   0.3507   0.7217   1.0114   1.1608   1.0241
1987   1.2527   1.2328   1.3634   1.0018   1.0705   1.3462   1.4733   1.6007   1.6617   1.4814   1.4008   1.1041
1988   0.7527   0.4028   0.4034  -0.3781  -0.8794  -1.3437  -1.3966  -1.3292  -1.1982  -1.9685  -2.0591  -1.9358
1989  -1.8872  -1.3171  -1.2065  -0.9981  -0.6394  -0.5337  -0.3266  -0.4692  -0.2482  -0.2885  -0.1791  -0.0758
1990   0.0827   0.4128   0.3234   0.3718   0.4905   0.1162   0.2833   0.2907   0.2517   0.2414   0.1908   0.3641
1991   0.5727   0.3728   0.2234   0.3218   0.6005   0.7662   0.7533   0.5407   0.3617   1.0214   1.2508   1.6641
1992   1.6727   1.6828   1.6234   1.5218   1.4305   0.6462   0.4133  -0.0292  -0.0082  -0.2285  -0.0291   0.0941
1993   0.3427   0.4728   0.5934   1.0218   1.0905   0.7562   0.4633   0.2807   0.3917   0.4714   0.4008   0.2341
1994   0.0927  -0.1071   0.0534   0.1418   0.3005   0.3862   0.2933   0.6407   0.5317   1.0114   1.2508   1.2641
1995   1.1627   0.9328   0.6134   0.3818   0.1905   0.1962   0.1733  -0.2592  -0.4382  -0.6085  -0.6691  -0.6758
1996  -0.5872  -0.6071  -0.3565  -0.2281  -0.2394  -0.0037  -0.0066  -0.1792  -0.2082  -0.1585  -0.1891  -0.3758
1997  -0.3672  -0.1771   0.0534   0.4518   1.0405   1.2662   1.7433   2.0507   2.2317   2.4014   2.5408   2.3541
1998   2.4827   2.1328   1.6134   1.0118   0.8505  -0.2737  -0.5966  -0.7192  -0.6882  -1.0785  -1.1091  -1.4558
1999  -1.4672  -1.3571  -0.7965  -0.6981  -0.7094  -0.8337  -0.6966  -0.8692  -0.7082  -0.9185  -1.2991  -1.4958
2000  -1.7272  -1.4771  -1.1365  -0.6881  -0.6294  -0.6437  -0.4366  -0.2392  -0.2582  -0.4385  -0.6291  -0.8658
2001  -0.8172  -0.5771  -0.3565  -0.1881  -0.1294   0.0062   0.1533   0.0407  -0.1482  -0.1485  -0.1691  -0.4058
